,year_graduated,gender,marital_status,diploma_type,defaulted,salary,fee,savings
48,2008,Male,Single,College Prep Diploma,Yes,75000,10964,82000.0
49,2004,Female,Married,Standard Diploma,No,110000,10966,103000.0
50,2005,Male,Divorced,Standard Diploma,Yes,75000,10966,37000.0
51,2005,Female,Married,Standard Diploma,Yes,90000,12062,24000.0
52,2006,Female,Divorced,Standard Diploma,No,65000,12062,52000.0
53,2007,Male,Single,College Prep Diploma,No,75000,12062,46000.0
54,2008,Female,Married,Standard Diploma,Yes,65000,12062,32000.0
55,2009,Male,Single,College Prep Diploma,No,75000,12062,20000.0
56,2004,Male,Single,Standard Diploma,Yes,100000,10967,12000.0
57,2005,Male,Married,Standard Diploma,Yes,75000,10967,16000.0
58,2008,Female,Single,Standard Diploma,Yes,90000,10968,37000.0
59,2008,Male,Married,College Prep Diploma,No,65000,10968,16000.0
60,2004,Male,Divorced,Standard Diploma,Yes,85000,11699,52000.0
61,2005,Female,Married,College Prep Diploma,No,90000,11699,46000.0
62,2006,Male,Divorced,Standard Diploma,Yes,65000,11699,32000.0
63,2007,Male,Single,College Prep Diploma,Yes,75000,11699,67000.0
64,2008,Female,Married,Standard Diploma,No,110000,11699,60000.0
65,2009,Male,Single,Standard Diploma,No,75000,11699,6000.0
66,2007,Female,Single,College Prep Diploma,Yes,90000,12065,16000.0
67,2008,Female,Married,Standard Diploma,No,65000,12065,22000.0
68,2009,Male,Divorced,Standard Diploma,Yes,75000,12065,46000.0
69,2004,Female,Married,Standard Diploma,Yes,65000,11700,32000.0
70,2005,Female,Divorced,Standard Diploma,No,75000,11700,67000.0
71,2006,Male,Single,College Prep Diploma,No,100000,11700,30000.0
72,2007,Male,Married,Standard Diploma,Yes,75000,11700,82000.0
73,2008,Female,Single,College Prep Diploma,No,90000,11700,93000.0
74,2009,Male,Single,Standard Diploma,Yes,65000,11700,37000.0
75,2004,Female,Married,Standard Diploma,Yes,85000,11335,24000.0
76,2005,Male,Single,Standard Diploma,No,90000,11335,52000.0
77,2006,Female,Married,Standard Diploma,No,65000,11335,46000.0
78,2007,Male,Divorced,Standard Diploma,Yes,75000,11335,32000.0
79,2008,Female,Married,Standard Diploma,No,110000,11335,50000.0
80,2009,Female,Divorced,Standard Diploma,Yes,75000,11335,19000.0
81,2005,Female,Single,Standard Diploma,Yes,90000,12066,16000.0
82,2006,Male,Married,College Prep Diploma,No,65000,12066,37000.0
83,2007,Male,Single,Standard Diploma,No,75000,12066,16000.0
84,2008,Male,Single,College Prep Diploma,Yes,65000,12066,72000.0
85,2009,Male,Married,Standard Diploma,No,75000,12066,46000.0
86,2005,Female,Divorced,Standard Diploma,Yes,100000,12067,32000.0
87,2006,Male,Married,Standard Diploma,Yes,75000,12067,67000.0
